Id,Subject,Theme,Topic,Subtopic
03d5a820-c1d0-4248-8e7f-c7b675aeacd7,Physics,Sound,Sound Propagation - Vacuum,Explain why sound cannot travel through a vacuum.
042fd563-32b4-4880-8856-f336b38c646c,Physics,The universe and its evolution,Structure of the Universe - Stars,"The criteria for classifying stars (mass, temperature, luminosity)."
046aa473-2fb0-4ee2-a075-6ec8b193a7ee,Biology,Plant Reproduction,"The formation of sex cells, pollination, and fertilization",
0508e9ea-01c2-4b6f-8d99-9e2f0b7334be,Physics,Radioactivity,Background Radiation,
05c89b6e-acf1-4c65-956e-9d8bd3c8920b,Biology,Plant Structure,vascular tissue,the functions
0779ef4a-ce4b-40a7-9a81-2cefc2660f01,Biology,Evolution,Concept of Evolution,Evidence
08137f67-235c-4223-b62b-fbfb44e9086d,Physics,Sound,Sound Characteristics- Intensity,Intensity relation to distance from the sound source.
0964fec7-2dbe-4e20-995d-4e508fb944d8,Chemistry,Periodic law,Metal and Nonmetal Ionization,Groups 1 (IA) and 17 (VIIA) Examples
096ebb77-a4f5-48c3-974e-43aed980bcbe,Physics,Optical Instruments,Telescopes and Binoculars,
0a3d1000-df56-474f-a76b-199cb9d10339,Biology,Cell Structure and Function,Bacterial Cell,Nucleoid: Storage of hereditary information
0b62b219-35f4-4ce5-bf9b-d82e3264797c,Biology,Plant Structure,Leaves,
0b7f3c3a-1135-4f82-aa86-6bb8f7b5fe12,Physics,Material structure,Coulomb,
0bfd2d41-bb34-489e-8ffc-cdc7aaee1ba0,Physics,Optical Instruments,Vision Correction - Nearsightedness (Myopia),
0bfea1b6-0cd8-4e7f-b9e6-0babd5e7523d,Biology,Viruses,Virus Role,Discuss the components of a virus and their functions.
0c2cf2fc-b553-41ce-9ef4-2ec4ed8f8d3e,Biology,Plant Structure,Fruits,the functions
0c4a7070-194d-4f60-abd0-96d7abaedc01,Chemistry,Periodic law,Periods and Groups,The significance of periods and groups
0c580b26-22e7-4e52-b21f-de50d6af22f5,Physics,Sound,Types of Sound-Ultrasound,The characteristics and applications of ultrasound.
0c6080e1-1efb-4762-ae44-9046083efd46,Biology,Plant Structure,Roots,the functions
0c744d76-7209-4a7a-92da-0dfa448e226b,Physics,Optical Instruments,The Eye,Structure
0cd51030-5d0f-4186-a8cb-61c5c3f98307,Biology,Cell Structure and Function,Bacterial Cell,Parts and function of parts
0d86d24d-cbcb-479a-9125-bcdc58360e0a,Physics,Sound,Types of Sound- Infrasound,The characteristics and applications of infrasound.
0daf6daa-3894-4dac-8928-a150baf35026,Chemistry,Periodic law,Similarities of Elements in a Group,Valence Shell
0e51b0ac-ef76-4a67-81ee-1b3873617da7,Chemistry,Chemical Reactions,Classifying Chemical Reactions,"Combination, Decomposition, Single Displacement, Double Displacement Reactions"
0e78db97-5fec-4cc7-9799-389aa5e86480,Chemistry,Chemical Reactions,Stoichiometric Calculations,Calculating Reactant or Product Masses using Relative Molecular Masses and Balanced Equations
0ebbb4ba-a1bc-400f-a409-a6a098bb4201,Chemistry,Material structure,Atomic Structure of the First 20 Elements,
0edccf83-b448-4dec-b2c4-eeb8ec6df220,Biology,Vertebrates,Reproduction,
0f59148a-de52-4786-b539-19dfb0945d97,Chemistry,Material structure,The number of neutrons in an atom,
1027bad2-9956-4083-bdcb-60c9ab61dc57,Biology,Plant Structure,"Tissues ",
12503b33-88cd-4b8c-98a5-6d5086e82c54,Biology,Diversity of life,Classification Principles,Explain how these principles are used to classify organisms.
13d1b438-c3d8-46d6-8290-8bbe745d6998,Physics,Radioactivity,Background Radiation,Sources
145c386a-95fa-4e13-8681-5e0a3711f16f,Biology,Evolution,Concept of Evolution,
14847c8f-fbb5-480f-aeaf-132c47032875,Physics,Light,Light Ray,
1508e547-b7b9-4fe5-b080-742234be36b8,Physics,Radioactivity,Beta Radiation,The properties and penetrating power of beta particles.
15d79943-65bf-45e1-876d-444f60eadc0d,Physics,Sound,Sound Sources,
16c72acd-0142-4fd4-9632-e9d24704033b,Physics,Types of Nuclear Reactions,Fusion,The products of nuclear fusion.
16eca0bc-ae07-4365-9232-651b3c143d74,Chemistry,Chemical formulas,Mass Percent of an Element in a Compound,Calculating Mass Percent and Fractional Mass
172fe6b1-6c4f-4fd2-8b77-552c2ea85e72,Physics,Light,Solar Eclipses,Causes of solar eclipses.
17330e21-3ab5-41ca-86f4-b513e3ecba23,Biology,Food Chains & Webs,Food chains and webs for organisms in terrestrial and aquatic ecosystems.,
175b8bb1-5b04-47d6-bbac-0156e60ca740,Physics,Radioactivity,Alpha Radiation,The properties and penetrating power of alpha particles.
18a8ea40-7e8b-4a90-a57e-2a982775c482,Biology,Evolution,Human Evolution,Hominids
1a159f37-d3fb-4731-9806-13fc043c2fc3,Biology,Evolution,Environmental Science,The importance of evolutionary science for environmental science and biodiversity conservation.
1a61a50a-ea47-45e5-9471-b330e1ab7a43,Biology,Evidence of Evolution,Origin of Life,Abiogenesis
1a755fd8-fa4d-4758-82f3-d81e7ff08396,Biology,Plant Structure,Stems,
1b054180-4e50-4df4-81c5-e91e7cb68162,Physics,Light,Reflection of Light - Total Internal Reflection,The phenomenon of total internal reflection.
1b7ba5c3-9e3e-46d0-a821-22464407c4dc,Chemistry,Material structure,"Protons, Neutrons, and Electrons ","The number of protons, neutrons, and electrons in an atom"
1c1424d7-2b40-4698-a228-54af2fbae62e,Biology,Food Chains & Webs,"Trophic Levels (feeding levels) ",
1c6c8eca-a157-42d7-84de-4d61e7991f1b,Biology,Evolution,Human Evolution,The connection between human evolution and primates.
1c80649f-68e4-402a-9e82-4de79ebf5418,Chemistry,Chemical Reactions,Oxidation-Reduction Reactions,"Relating to Oxygen Gain/Loss and Electron Transfer (eg, Burning, Rusting)"
1d2b898b-af1d-4723-86e0-a8a1e54d6d21,Biology,Science of Ecology,Structural levels,structural levels of ecology: individual
1d8553cf-ccac-4a0a-a4a6-b7b1e068f387,Biology,Plant Structure,Fruits,
1dce5cfe-e76c-467a-bb86-8bc1952168a0,Physics,The universe and its evolution,Stellar Evolution,Black Holes
1e8abfb6-4ee0-43d7-a2bb-94bb83df895b,Physics,Radioactivity,Alpha Radiation,
1e98403e-5182-40ae-ba0f-064675a0ced9,Biology,Cell Structure and Function,Bacterial Cells vs. Plant and Animal Cells,Similarities 
1f2f47b6-5d58-4c8d-b944-2cc0c74c6222,Biology,Invertebrates,Investigate and describe the external anatomical features of animal groups,
201add5d-f938-4d47-9098-40ee46b6658f,Biology,Science of Ecology,Structural Levels,structural levels of ecology: community
2024f08a-d414-4777-835f-5fa37fb4c711,Physics,Light,Shadows,
203885a2-3511-472a-9790-d2a5465ce219,Biology,Mitosis and Meiosis,Importance of Meiosis,
206560f4-8033-4600-9f0d-6a83cb31a2a7,Chemistry,Chemical formulas,Classification of Substances,Single Elements vs Composite Substances
22952a94-2cad-4b11-982b-8e65772ead80,Physics,Types of Nuclear Reactions,Fission,The dangers posed by the Astravets Nuclear Power Plant and other nuclear facilities.
22f1a5e4-c14e-48a9-bcb2-feddf801c504,Physics,Types of Nuclear Reactions,Fission,
24a12ca6-2fd4-4afe-bbf6-da7c49e0375a,Chemistry,Material structure,The composition of the nucleus,
253eb5b9-34d9-4573-adb1-9a45e51698bd,Biology,Plant Structure,epidermis tissue,the functions
256138fe-49fc-4424-a62a-1e56c62f66d9,Biology,"Ecosystem ",Community Change,Seasonal Changes
263cebed-14aa-4699-a2c5-2628c940da66,Chemistry,Periodic law,Metal and Nonmetal Ionization,Ion Formation
264b2326-4cb0-4715-892b-382d894ab91a,Physics,Radioactivity,Applications of Radioactive Isotopes,
2740520b-9631-4075-a5f0-bc73e44465f1,Biology,Vertebrates,The circulatory systems,
27b4addd-4d3b-4bf8-8891-6070c6bd41e0,Biology,Evidence of Evolution,Molecular Biology,
285de92c-aeba-47b4-b4a4-9db2761ce041,Physics,The universe and its evolution,Structure of the Universe - Dark Matter and Dark Energy,
28855f43-d0a3-40e4-8412-97d80645f512,Biology,Heredity and genetic variation,Chromosomes and genes,Hereditary information is stored in chromosomes.
290e35f3-8f6d-4d46-8fdf-aa6678a1efdb,Chemistry,Material structure,The number of electrons in an atom,
2ae91b06-4b25-43ea-b0c6-61bc617d3c19,Biology,"Ecosystem ",Interspecies relationship types,plants and pollinators
2b8d8b45-a5a4-4428-80bb-b6b6534f1e81,Physics,Sound,Sound Characteristics,
2ba83fc9-13c7-4dd5-b295-3a96a9243052,Biology,Ecosystem stability,Impact of Genetically Modified Organisms (GMOs),
2c8d54f2-632f-4d49-987d-88faa627bd6f,Physics,Sound,Sound Propagation - Medium,List different mediums through which sound can travel.
2d3d8793-a8fd-4241-a499-18fe321b84f8,Biology,Energy Pyramid,Energy Transfer,
2f73b2a1-0798-4ef6-b633-6fa8caaed00a,Chemistry,Chemical Bonding ,Molecular Structure Modeling,Techniques for Modeling Molecules
30a0308d-c445-4a1d-8349-5b8d869fddd8,Biology,Invertebrates,"Identify representatives of invertebrate phyla living in Lithuania: cnidarians, flatworms, roundworms, segmented worms, mollusks, arthropods",
30b21196-7ade-47be-a211-305bc7486094,Chemistry,Material structure,Chemical Elements,Periodic Table
30d53eb1-ec03-47ff-a327-e6fdb90309e4,Physics,The universe and its evolution,"Structure of the Universe ",
310cc4a3-2426-4a67-a57f-0c49567e5c3a,Physics,Light,Transparent and Opaque Materials,Transparency Properties
31619c3e-58df-4a28-8258-0207da01df07,Biology,Science of Ecology,Structural Levels,structural levels of ecology: biosphere
3223cf0e-4c65-424c-91be-c22e2455c831,Chemistry,Chemical Bonding ,Covalent Bonding,Definition
322ccee6-e24d-4b70-854b-08e0f4c10eb5,Physics,Optical Instruments,Lens Characteristics,Magnification
3236a127-6b32-44aa-8d62-53a6cb7f95c4,Chemistry,Periodic law,Metal and Nonmetal Ionization,The process of metal and nonmetal atoms transforming into ions
32679395-f355-497e-8b61-e79b754136f8,Chemistry,Material structure,Ions,
33976703-2fba-4868-a605-398a8cb973c2,Physics,Light,"Reflection of Light - Angle of Incidence, Refraction, and Reflection",
35946042-1cf5-44a8-905f-7319428f16d3,Physics,Sound,Sound Propagation - Medium,
370b1f67-8fcb-4168-8625-350410441c26,Biology,Evolution,Medical Advancement,
3713c8e4-7bd3-4991-9557-ad75d4115866,Biology,Invertebrates,Features that allow the animals to adapt to life in different environments,
37cb0ae4-f433-4bc3-bbee-f0847eada8cd,Physics,Material structure,Negative Ions,The mechanism of positive ion formation.
3845a82b-29fe-474c-a92d-f4777192cf17,Physics,The universe and its evolution,Big Bang Theory,Evidence
3877d385-f13f-4e4d-9635-47e46c1bc57d,Physics,Optical Instruments,Binoculars,Types
38f113df-bd8c-459f-91ae-80b1cf7a45e7,Biology,Evidence of Evolution,Molecular Biology - Genealogical Relationships,
39a849fe-b3c1-42d8-a636-512deac3e514,Physics,The universe and its evolution,Structure of the Universe - Galaxies,"Different types of galaxies (spiral, elliptical, irregular)."
3a2c7622-0b61-44e5-97b5-71aa870f66c9,Biology,Vertebrates,Classes,
3b1a5f81-db12-4d93-adaa-8486b92e3351,Chemistry,Chemical Reactions,Law of Mass Conservation,Verifying Balanced Chemical Reaction Equations
3b7cc719-203b-4ff0-8c65-f7621059377b,Biology,Energy Pyramid,Energy Transfer,Reason why only a portion of energy is transferred from one trophic level to the next.
3cbaea8f-4753-48ea-84a7-03fd45ea77c5,Biology,Ecosystem,Ecosystem Components,
3cea62d0-a988-4173-962b-d96b9d1f0bc1,Physics,Types of Nuclear Reactions,Fission,Identify the applications of nuclear fission.
3dc177e6-7e7f-481d-a63b-e8404f7f6816,Chemistry,Periodic law,Nonmetals,Chemical properties
3e1bc914-695e-4730-8876-5851e1531ada,Physics,Sound,Types of Sound- Audible Sound,
3e9525d2-3ee5-412a-ad6d-d7396b0abd63,Physics,Radioactivity,"Applications in Medicine of Radioactive Isotopes ",
3fc6b43b-8f65-4af9-a2c5-ae8998ed0b54,Physics,Optical Instruments,Vision Correction,
40f26abf-f556-49e0-b1e9-e7b7602363d4,Physics,Material structure,Nucleus - protons,
4120110d-5edf-49ce-b0f3-3c6228258e8f,Chemistry,Chemical Reactions,Chemical Reaction Equations,"Understanding Components (Reactants, Products, Coefficients, Symbols)"
43538ecc-80bc-4319-9687-5b36720b5b86,Biology,Evolution,Human Evolution,Primates
43638d87-a0d8-4a7d-a315-2907bc03af92,Biology,Cell Structure and Function,Plant and Animal Cell,Central vacuole: Storage of cell sap (plants only)
4390f19e-d649-490a-a853-465c094f3757,Biology,Evolution,Concept of Evolution,"List and explain evidence of evolution (fossils, embryonic similarities, homologous organs, vestigial organs, DNA sequences)."
44082dde-fa1a-4c16-83ea-53f9211cda91,Biology,Diversity of life,Purpose of Classification,Discuss the benefits of classification for science and society.
4468fa6f-49ef-4afd-a0ee-d33b14850420,Physics,The universe and its evolution,Expansion Law,
44b1c773-754d-4165-b1fb-fef352f65dc2,Physics,Radioactivity,Decay Rules,
44e85431-f3a2-4278-877f-436fee1d1de0,Physics,The universe and its evolution,Possibility of Life Elsewhere,Exoplanet Detection
4537f753-b162-4261-b799-6a02084e46b6,Biology,Cell Structure and Function,Plant vs Animal Cell,Relationship to Cell Functions
46cedc88-ba62-454a-b14a-a82cdc65b16c,Biology,Ecosystem populations,Environmental Impact,
472f4af3-efaa-456a-a591-a7022648d547,Physics,Light,Dispersion of Light - Rainbow,
4794f312-cbd3-4c94-83b6-dcc3aaf5d1bf,Chemistry,Chemical Bonding ,Chemical Safety,Critical Evaluation of Chemical Hazards
4803af7c-bf22-4f0d-97c3-1efa7266758b,Biology,Plant Structure,Flowers,
4868b62e-629e-4534-bd67-eaae51b0f349,Biology,Transport in Plants,vegetative organs: leaves,
48c348d5-6b94-4278-8cc6-383ec1224146,Physics,Radioactivity,Radiation Pollution - Effects on Living Organisms,
494f32d0-99d9-4e0f-8a24-c1c3ef0aee98,Chemistry,Chemical formulas,Formula Conversions,"Converting Between Formula Types (eg, Lewis to Structural)"
49561080-e07e-47b1-99a0-7a31b2ea5271,Physics,Light,Reflection of Light- Laws of Reflection,
49e621eb-4789-4028-8da7-6a15a2b5f036,Biology,Mitosis and Meiosis,Mitosis,
4a066937-27c2-4ff4-a99f-04a01328829e,Physics,Material structure,Why Electrons Don't Fall into the Nucleus,The interplay between electromagnetic force and gravity.
4a1003ae-0db6-4d38-88eb-624c53b7c2fd,Biology,Vertebrates,Development of these animal groups.,
4a4b8711-69fe-42b0-be5f-7def11aaab71,Chemistry,Chemical Reaction Energy Transformations,Energy Changes in Reactions,Relating Energy Change to Reaction Type (Exothermic or Endothermic)
4a5a573f-c6e8-483d-a2b0-5d8a16e4f3f2,Physics,Sound,Sound Reflection- Echo,
4aa9515b-1326-42b7-bcc7-fcff72ae02c7,Physics,Radioactivity,Gamma Radiation,
4af5ba42-7ced-42c5-95a9-0eb081e406ef,Chemistry,Chemical formulas,Chemical Formulas of Simple Substances,"Writing Formulas for Simple Substances (H2O, CO2, O2, HCl)"
4af68c9e-d146-43ba-9660-a6dc0c820eb1,Biology,Diversity of life,"Explain the significance of each (domain, kingdom, phylum or division, class, order, family, genus, species) rank and its relationship to other ranks",
4b5a4fc8-7230-468a-879d-cffd41173150,Physics,Light,Illuminance,Measurement
4b7b5438-6d1d-46e8-83f9-6a06b9a3c6e7,Physics,Sound,What is Sound,Define sound as a mechanical wave travelling through a medium.
4c0d3210-f8bf-41c1-82ed-a0cd00586ab6,Biology,Transport in Plants,vegetative organs: stems,
4d7cf57f-1f92-4d3c-9688-e93f37551fb0,Physics,Types of Nuclear Reactions,Fission,"Examples of nuclear power plant accidents (Chernobyl, Fukushima)."
4d7e94a6-4ffd-45b0-883e-bbcb2fd9c5a9,Biology,Diversity of life,Domains,"Define domain as the highest taxonomic unit. * Identify and describe the three domains of life: Bacteria, Archaea, and Eukarya."
4e38cc55-6240-4935-8fff-9e0cc7381761,Biology,"Ecosystem ",Interspecies relationship types,parasite and host
4e7fe43a-3315-44f9-be92-be23938dc0e0,Biology,Evolution,Darwin's Theory,Natural Selection
4f25e12e-9d85-4eab-bc7e-2f532e693e11,Biology,Plant Structure,tissue tissue,
4f445001-dadf-4735-874c-45ad22505293,Physics,Optical Instruments,Telescopes and Binoculars,The working principles of telescopes and binoculars.
4f9a2d0e-cec4-433c-8d76-500c82c8a79b,Chemistry,Chemical Bonding ,Covalent Bonding,Formation Process
5108067f-8c2d-4896-8fce-43dd5da49eb0,Physics,Sound,Sound Measurement,
510ff2a0-0472-4ce5-91e9-8178ef4c73cc,Physics,Radioactivity,Beta Decay,
516b7f61-9f59-4ae2-9ea1-e0601a881679,Biology,Plant Reproduction,Pollination and Seed Dispersal,The importance of pollination and seed dispersal for plants
51c0595f-0858-4c73-ab6b-1bf7266d162a,Physics,Sound,Sound Characteristics- Amplitude,
51dfbca6-32cb-47ae-8608-9531f58a7dd4,Chemistry,Chemical Bonding ,Ionic Bonding,Properties of Ionic Bonds
52b40edd-21e6-4892-be47-8763d8072903,Physics,Light,Reflection of Light,
532acaf1-e5b4-47c5-b73a-baa879ee8f33,Chemistry,Chemical Reactions,Law of Mass Conservation,Balancing Chemical Reaction Equations
533c1056-18d8-4ae7-8770-b99008c7f2ef,Biology,Evolution,Concept of Evolution,Definition
535e1d99-7b63-4b16-83a5-3f47a3e21807,Biology,Ecosystem,Ecosystem Relationships,Describe the material exchange in ecosystem.
536cd594-3036-4c95-9e61-f592be312283,Biology,Heredity and genetic variation,Chromosomes and genes,
5423a9d2-aa1c-46c6-bbb5-f26f3bef6c55,Physics,Light,Dispersion of Light - Color Distribution in Spectrum,
54351ec3-2eed-43b9-a317-1a959c1bcea7,Physics,Optical Instruments,Lens Characteristics,Focal Length
545e26e3-8412-4edf-8137-754f3357ff26,Biology,Evidence of Evolution,Paleontological Data,Fossil Record
554dba19-6741-4a5e-a031-8c39eb9f303e,Biology,Plant Structure,Leaves,the functions
5564c1c4-f2d0-46f7-bb36-f707e2b238a6,Chemistry,Chemical Reactions,Chemical Reaction Equations,"Identifying and Describing Reaction Signs (Color/Odor Change, Gas Evolution, Precipitate Formation, Sound, Heat/Light)"
55a979e2-f6c1-45a5-8489-6f7add64f96c,Physics,Light,Reflection of Light - Optical Fibers," Optical fibers and their applications."
56abc026-e46a-4bc5-8a6c-f443117be697,Biology,Cell Structure and Function,Plant and Animal Cell,Cytoplasm: Cellular filling
56de9928-2252-4886-b1a1-b45be1371c54,Physics,Material structure,Ions,
5789459a-4693-4e81-b573-5ee87c407557,Chemistry,Chemical formulas,Chemical Element Symbols and Subscripts,Determining Elemental Composition in a Formula
57fd80c0-e4e5-49c5-9279-186a93e650c4,Physics,Radioactivity,"Applications in Agriculture of Radioactive Isotopes ",
58385b5d-d834-45ad-870d-96280adfcb99,Physics,Sound,Types of Sound-Ultrasound,
5852b5c6-57d3-426e-9e64-d1623fa41d72,Chemistry,Chemical Reaction Energy Transformations,Exothermic and Endothermic Reactions,"Practical Exploration (e.g., Temperature Changes During Dissolving)"
59385221-247d-4284-b6a3-0c174e373177,Chemistry,Chemical Bonding ,Electronegativity,Definition
593fc302-124b-441c-bb47-d8d44981fc14,Physics,Types of Nuclear Reactions,Fusion,The source of the Sun's energy.
